model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
B3,0,inter_peak,-1,mean,706748,1.42567623,2.14908624,6.83693504,8.10912228,20
B3,0,pm_peak,15,15min,87655,1.72036779,2.72467041,8.55947781,10.83205986,3
B3,0,pm_peak,30,30min,87655,1.77073002,2.82678366,8.81004906,11.08832550,3
B3,0,pm_peak,45,45min,87655,1.82148123,2.90131116,9.06255531,11.34916306,3
B3,0,pm_peak,60,60min,87655,1.87822855,3.00065279,9.34489441,11.67644310,3
B3,0,pm_peak,-1,mean,350620,1.79770195,2.86513782,8.94424438,11.23649883,12
B3,0,off_peak,15,15min,275519,1.85078681,2.75246072,7.84529734,9.36354351,30
B3,0,off_peak,30,30min,276340,1.84489334,2.74901271,7.82427216,9.35370350,28
B3,0,off_peak,45,45min,277070,1.85813773,2.76045561,7.88296032,9.40579319,25
B3,0,off_peak,60,60min,277737,1.87872088,2.77477479,7.97255325,9.49283314,26
B3,0,off_peak,-1,mean,1106666,1.85816610,2.75921917,7.88139534,9.40411186,109
B3,1,all,15,15min,628205,1.68788230,2.56702471,7.69020987,9.19239712,39
B3,1,all,30,30min,629026,1.69784629,2.58922815,7.73669863,9.26680374,37
B3,1,all,45,45min,629756,1.72487831,2.62706375,7.86038542,9.41759396,34
B3,1,all,60,60min,630423,1.76899552,2.68805480,8.06188488,9.66241932,35
B3,1,all,-1,mean,2517410,1.71993995,2.61830306,7.83746243,9.38503075,145
B3,1,am_peak,15,15min,88344,1.70443022,2.54399943,8.17371941,9.44674873,1
B3,1,am_peak,30,30min,88344,1.71450174,2.56078339,8.22201824,9.53482342,1
B3,1,am_peak,45,45min,88344,1.79173386,2.67464209,8.59239101,10.00668812,1
B3,1,am_peak,60,60min,88344,1.95866549,2.90650129,9.39292431,10.97255230,1
B3,1,am_peak,-1,mean,353376,1.79233277,2.67539763,8.59526253,9.99020290,4
B3,1,inter_peak,15,15min,176687,1.40181255,2.10408759,6.72249508,7.93452930,5
B3,1,inter_peak,30,30min,176687,1.41506302,2.13806152,6.78603888,8.04838467,5
B3,1,inter_peak,45,45min,176687,1.42711413,2.15896463,6.84383059,8.14769173,5
B3,1,inter_peak,60,60min,176687,1.44148624,2.18125892,6.91275311,8.23655891,5
B3,1,inter_peak,-1,mean,706748,1.42136908,2.14578128,6.81627989,8.09179115,20
B3,1,pm_peak,15,15min,87655,1.70935595,2.71087623,8.50468922,10.79639149,3
B3,1,pm_peak,30,30min,87655,1.75983477,2.80727744,8.75584126,11.04636860,3
B3,1,pm_peak,45,45min,87655,1.81191337,2.89402628,9.01495171,11.31694508,3
B3,1,pm_peak,60,60min,87655,1.86806583,2.98982716,9.29433155,11.65099525,3
B3,1,pm_peak,-1,mean,350620,1.78729248,2.85237217,8.89245319,11.20267582,12
B3,1,off_peak,15,15min,275519,1.85919750,2.78792834,7.88094997,9.40721226,30
B3,1,off_peak,30,30min,276340,1.85366619,2.78232908,7.86147785,9.39568996,28
B3,1,off_peak,45,45min,277070,1.86591005,2.78987408,7.91593361,9.43869114,25
B3,1,off_peak,60,60min,277737,1.88574755,2.80464530,8.00237179,9.52515793,26
B3,1,off_peak,-1,mean,1106666,1.86616015,2.79122472,7.91530228,9.44181633,109
B3,2,all,15,15min,628205,1.69120038,2.55242491,7.70532703,9.16570473,39
B3,2,all,30,30min,629026,1.69805455,2.57137895,7.73764753,9.22701359,37
B3,2,all,45,45min,629756,1.72344506,2.60764623,7.85385466,9.36973763,34
B3,2,all,60,60min,630423,1.76730609,2.66946054,8.05418587,9.61106873,35
B3,2,all,-1,mean,2517410,1.72003806,2.60066700,7.83790970,9.34359550,145
B3,2,am_peak,15,15min,88344,1.71610129,2.55025029,8.22968960,9.45259285,1
B3,2,am_peak,30,30min,88344,1.71230090,2.54440880,8.21146488,9.46702194,1
B3,2,am_peak,45,45min,88344,1.77522814,2.64109802,8.51323605,9.86136913,1
B3,2,am_peak,60,60min,88344,1.92627752,2.85768580,9.23760414,10.73578167,1
B3,2,am_peak,-1,mean,353376,1.78247690,2.65139389,8.54799843,9.87919140,4
