model,period,horizon_min,horizon_label,n_seed,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WMAPE_mean,WMAPE_std,MAPE_mean,MAPE_std
A0,off_peak,45,45min,3,277059,1.94267774,0.00322157,2.87333767,0.01437958,8.24711800,0.01367689,9.81640371,0.02403716
A0,off_peak,60,60min,3,277726,1.97492627,0.00427057,2.90189838,0.01002052,8.38639673,0.01813481,9.96863047,0.03317624
A1,all,-1,mean,3,2517410,1.73423338,0.00322661,2.62511945,0.00400524,7.90259536,0.01470297,9.46740341,0.01092432
A1,all,15,15min,3,628205,1.66403862,0.00078141,2.52180147,0.00160734,7.58157476,0.00356027,9.06307220,0.01965487
A1,all,30,30min,3,629026,1.71210730,0.00182475,2.59976188,0.00334897,7.80168231,0.00831490,9.35342407,0.01530908
A1,all,45,45min,3,629756,1.75721312,0.00416774,2.65865159,0.00436931,8.00773732,0.01899234,9.59845034,0.00800586
A1,all,60,60min,3,630423,1.80330296,0.00651038,2.71593912,0.00812792,8.21823502,0.02966976,9.85312716,0.00690953
A1,am_peak,-1,mean,3,353368,1.81671711,0.01389591,2.67080681,0.01391361,8.68923155,0.06646305,10.10363134,0.03806941
A1,am_peak,15,15min,3,88342,1.62766318,0.00337572,2.42543689,0.00117060,7.78500032,0.01614615,9.14644623,0.00929423
A1,am_peak,30,30min,3,88342,1.75079334,0.01065209,2.58840513,0.00868505,8.37392330,0.05094821,9.78422324,0.02264231
A1,am_peak,45,45min,3,88342,1.87486780,0.01896627,2.73588943,0.01917826,8.96736336,0.09071441,10.38858350,0.05806720
A1,am_peak,60,60min,3,88342,2.01354369,0.02314843,2.90944624,0.02470237,9.63064035,0.11071756,11.09527238,0.07699618
A1,inter_peak,-1,mean,3,706724,1.41975300,0.00150869,2.14646053,0.00462313,6.80472469,0.00723103,8.09276454,0.02652093
A1,inter_peak,15,15min,3,176681,1.37602369,0.00033142,2.07533614,0.00324937,6.59513442,0.00158869,7.81978766,0.03152479
A1,inter_peak,30,30min,3,176681,1.40505791,0.00126173,2.13100195,0.00428444,6.73429235,0.00604741,8.01121632,0.02533492
A1,inter_peak,45,45min,3,176681,1.43467601,0.00210778,2.17169992,0.00534868,6.87624915,0.01010240,8.18955708,0.02047152
A1,inter_peak,60,60min,3,176681,1.46325457,0.00240729,2.20560217,0.00679028,7.01322301,0.01153758,8.35049884,0.02937274
A1,pm_peak,-1,mean,3,350696,1.80587141,0.00475988,2.88490041,0.01350766,8.99778748,0.02371605,11.37049739,0.07528172
A1,pm_peak,15,15min,3,87674,1.68970978,0.00379775,2.65903155,0.00185597,8.41900921,0.01892219,10.53010178,0.06595171
A1,pm_peak,30,30min,3,87674,1.78262715,0.00324291,2.84930046,0.01368901,8.88197200,0.01615777,11.20356528,0.07922105
A1,pm_peak,45,45min,3,87674,1.84791545,0.00583368,2.95952519,0.01633505,9.20727253,0.02906688,11.66851012,0.08280848
A1,pm_peak,60,60min,3,87674,1.90323345,0.00833068,3.05656703,0.02284041,9.48289490,0.04150825,12.07981364,0.07857083
A1,off_peak,-1,mean,3,1106622,1.88602928,0.00136092,2.79622380,0.00399202,8.00492668,0.00577655,9.53904343,0.00334592
A1,off_peak,15,15min,3,275508,1.85223500,0.00043705,2.75723076,0.00199946,7.85670551,0.00185365,9.36683400,0.00360350
A1,off_peak,30,30min,3,276329,1.87368794,0.00112708,2.78639054,0.00558681,7.95171038,0.00478300,9.48689461,0.00229536
A1,off_peak,45,45min,3,277059,1.89667845,0.00158324,2.81076900,0.00601251,8.05183983,0.00672105,9.58991623,0.00498721
A1,off_peak,60,60min,3,277726,1.92120945,0.00398027,2.82965144,0.00327748,8.15829150,0.01690206,9.71100934,0.01159018
A2,all,-1,mean,3,2517410,1.73318267,0.00455218,2.63040296,0.00805418,7.89780744,0.02074335,9.46868324,0.01273012
A2,all,15,15min,3,628205,1.70042646,0.00651204,2.57684350,0.01041026,7.74736245,0.02966981,9.27470144,0.00892700
A2,all,30,30min,3,629026,1.71126088,0.00501299,2.60101589,0.00865856,7.79782565,0.02284304,9.35366503,0.00966332
A2,all,45,45min,3,629756,1.73888795,0.00347020,2.64058145,0.00685861,7.92422867,0.01581378,9.50531451,0.01671656
A2,all,60,60min,3,630423,1.78199760,0.00325334,2.70124491,0.00674924,8.12113953,0.01482686,9.74015172,0.02003777
A2,am_peak,-1,mean,3,353368,1.79133161,0.00308042,2.66578221,0.00558680,8.56781451,0.01473344,9.98689683,0.06132887
A2,am_peak,15,15min,3,88342,1.71782366,0.02422482,2.55182918,0.02724536,8.21623198,0.11586550,9.50407473,0.05656050
A2,am_peak,30,30min,3,88342,1.71018895,0.01140160,2.54482500,0.00628601,8.17971516,0.05453288,9.51829497,0.03564931
A2,am_peak,45,45min,3,88342,1.78754143,0.00712199,2.66104190,0.01478382,8.54968707,0.03406456,9.99463781,0.11045291
A2,am_peak,60,60min,3,88342,1.94977232,0.01716201,2.89045580,0.02929873,9.32562606,0.08208496,10.93058173,0.16639006
A2,inter_peak,-1,mean,3,706724,1.43969937,0.00371289,2.17581304,0.00860542,6.90032578,0.01779582,8.19314416,0.01512256
A2,inter_peak,15,15min,3,176681,1.41754349,0.00469768,2.13069550,0.01170594,6.79413478,0.02251520,8.03946273,0.01401997
A2,inter_peak,30,30min,3,176681,1.43370418,0.00420756,2.17023460,0.01037992,6.87159109,0.02016649,8.15862147,0.01544082
A2,inter_peak,45,45min,3,176681,1.44605462,0.00338197,2.19040593,0.00746231,6.93078566,0.01620954,8.24489085,0.01587677
A2,inter_peak,60,60min,3,176681,1.46149508,0.00257090,2.21109891,0.00516474,7.00479031,0.01232220,8.32960097,0.01649462
A2,pm_peak,-1,mean,3,350696,1.81704748,0.01061818,2.91387757,0.02787397,9.05347284,0.05290464,11.50665665,0.06079772
A2,pm_peak,15,15min,3,87674,1.74610158,0.00860896,2.77982100,0.02689914,8.69998264,0.04289448,11.11242580,0.08555706
A2,pm_peak,30,30min,3,87674,1.79223184,0.01024045,2.87258395,0.02813941,8.92982737,0.05102346,11.36470350,0.06222330
A2,pm_peak,45,45min,3,87674,1.83979595,0.01156008,2.95101428,0.02855197,9.16681639,0.05759876,11.62541167,0.05311853
A2,pm_peak,60,60min,3,87674,1.89006062,0.01356313,3.04548756,0.02969715,9.41726081,0.06757884,11.92408466,0.04676296
A2,off_peak,-1,mean,3,1106622,1.87546488,0.00518929,2.78500764,0.00381923,7.96008809,0.02202533,9.47197247,0.01153056
A2,off_peak,15,15min,3,275508,1.86172354,0.00362310,2.77160907,0.00291581,7.89695342,0.01536816,9.40851243,0.00511910
A2,off_peak,30,30min,3,276329,1.86337900,0.00380106,2.77490576,0.00288662,7.90796041,0.01613098,9.42708429,0.00612350
A2,off_peak,45,45min,3,277059,1.87818289,0.00548205,2.78843856,0.00382880,7.97332207,0.02327242,9.48218282,0.01510155
A2,off_peak,60,60min,3,277726,1.89841016,0.00785746,2.80480218,0.00626062,8.06147607,0.03336641,9.56940238,0.02307639
A3,all,-1,mean,3,2517410,1.71853387,0.00205825,2.60597324,0.00874664,7.83105532,0.00937906,9.36158848,0.01734918
A3,all,15,15min,3,628205,1.68925989,0.00141187,2.55730255,0.00687461,7.69648600,0.00643253,9.18188953,0.01161304
A3,all,30,30min,3,629026,1.69667824,0.00180114,2.57727337,0.00845358,7.73137601,0.00820744,9.24529330,0.01640411
A3,all,45,45min,3,629756,1.72224458,0.00277362,2.61352491,0.00960099,7.84838374,0.01263939,9.38899962,0.02062162
A3,all,60,60min,3,630423,1.76580532,0.00338796,2.67405279,0.01009436,8.04734643,0.01543976,9.62930775,0.02345372
A3,am_peak,-1,mean,3,353368,1.78826006,0.01066554,2.65737669,0.02081474,8.55312347,0.05101217,9.91595809,0.06782034
A3,am_peak,15,15min,3,88342,1.72600337,0.00529793,2.55800382,0.00657127,8.25535456,0.02533954,9.48540688,0.00459851
A3,am_peak,30,30min,3,88342,1.71192563,0.00963212,2.54428617,0.01940596,8.18802166,0.04607004,9.46763293,0.05488985
A3,am_peak,45,45min,3,88342,1.77783473,0.01595272,2.64554286,0.02718210,8.50326029,0.07630082,9.89116605,0.09294307
A3,am_peak,60,60min,3,88342,1.93727644,0.02109839,2.86887527,0.03254957,9.26585897,0.10091234,10.81962776,0.12760933
A3,inter_peak,-1,mean,3,706724,1.42256860,0.00314067,2.14439376,0.00380548,6.81821966,0.01505297,8.07921727,0.00953860
A3,inter_peak,15,15min,3,176681,1.40346519,0.00497958,2.10243034,0.00628814,6.72665898,0.02386647,7.93141127,0.02021774
A3,inter_peak,30,30min,3,176681,1.41564731,0.00337450,2.13634841,0.00479093,6.78504658,0.01617377,8.03692150,0.01165220
A3,inter_peak,45,45min,3,176681,1.42748721,0.00205798,2.15766668,0.00232089,6.84179417,0.00986377,8.12763468,0.00372534
A3,inter_peak,60,60min,3,176681,1.44367480,0.00218574,2.18035809,0.00197090,6.91937923,0.01047576,8.22090085,0.00339211
A3,pm_peak,-1,mean,3,350696,1.79794876,0.00534000,2.85434882,0.01228121,8.95831299,0.02660620,11.22511323,0.04391230
A3,pm_peak,15,15min,3,87674,1.72167548,0.00461343,2.71312316,0.01777623,8.57827918,0.02298646,10.80597115,0.06898020
A3,pm_peak,30,30min,3,87674,1.77061884,0.00484246,2.81144285,0.01688498,8.82214006,0.02412754,11.06549676,0.05787922
A3,pm_peak,45,45min,3,87674,1.82150722,0.00608151,2.89131443,0.01027543,9.07569281,0.03030162,11.34339873,0.03326410
A3,pm_peak,60,60min,3,87674,1.87799327,0.00762151,2.99401816,0.00556340,9.35713514,0.03797421,11.68558502,0.01629666
A3,off_peak,-1,mean,3,1106622,1.86011461,0.00319671,2.77037740,0.01438725,7.89493624,0.01356817,9.41298135,0.02099882
A3,off_peak,15,15min,3,275508,1.85044018,0.00358724,2.76338442,0.01583448,7.84909248,0.01521620,9.36968931,0.02398571
A3,off_peak,30,30min,3,276329,1.84803128,0.00373056,2.76125948,0.01534514,7.84282684,0.01583214,9.36933359,0.02406717
A3,off_peak,45,45min,3,277059,1.86107548,0.00316509,2.77122060,0.01357472,7.90069755,0.01343634,9.41480986,0.02057602
A3,off_peak,60,60min,3,277726,1.88077561,0.00256204,2.78547923,0.01288823,7.98659197,0.01087946,9.49752998,0.01563317
A4,all,-1,mean,3,2517410,1.71156796,0.00053264,2.60133330,0.00436971,7.79931323,0.00242725,9.34668605,0.01746242
A4,all,15,15min,3,628205,1.68345984,0.00466524,2.55540450,0.00972038,7.67006048,0.02125540,9.17390601,0.02431919
A4,all,30,30min,3,629026,1.69017430,0.00114360,2.57356834,0.00473232,7.70173899,0.00521158,9.23267714,0.02064978
A4,all,45,45min,3,629756,1.71498076,0.00198933,2.60791222,0.00302778,7.81528139,0.00906567,9.37198702,0.02234761
A4,all,60,60min,3,630423,1.75751428,0.00361335,2.66683340,0.00481900,8.00956154,0.01646735,9.60733954,0.02446474
A4,am_peak,-1,mean,3,353368,1.76089629,0.00581313,2.61785547,0.00546385,8.42224439,0.02780368,9.82746665,0.02879784
A4,am_peak,15,15min,3,88342,1.70270324,0.01925165,2.53274401,0.02608054,8.14391232,0.09207928,9.43031311,0.08784728
A4,am_peak,30,30min,3,88342,1.68271935,0.00901088,2.50230614,0.01020505,8.04833031,0.04309824,9.37546921,0.03400633
A4,am_peak,45,45min,3,88342,1.74762774,0.00994989,2.59719427,0.01133411,8.35878277,0.04758952,9.78599834,0.05872428
A4,am_peak,60,60min,3,88342,1.91053490,0.01820883,2.82658156,0.02385030,9.13795598,0.08709189,10.71808815,0.10260178
A4,inter_peak,-1,mean,3,706724,1.41791185,0.00488557,2.14799078,0.00377057,6.79590034,0.02341592,8.07370345,0.04071379
A4,inter_peak,15,15min,3,176681,1.39725773,0.00419596,2.10479347,0.00623140,6.69690688,0.02011068,7.92102591,0.03751674
A4,inter_peak,30,30min,3,176681,1.41084786,0.00497583,2.13945667,0.00368163,6.76204316,0.02384842,8.02952957,0.04183481
A4,inter_peak,45,45min,3,176681,1.42425807,0.00534343,2.16296339,0.00340919,6.82631715,0.02561071,8.12668641,0.04267628
A4,inter_peak,60,60min,3,176681,1.43928361,0.00517828,2.18394057,0.00357131,6.89833291,0.02481908,8.21757221,0.04119115
A4,pm_peak,-1,mean,3,350696,1.78679844,0.00753139,2.85856994,0.00313795,8.90275574,0.03752548,11.25588767,0.05389220
A4,pm_peak,15,15min,3,87674,1.71459734,0.00662597,2.72536635,0.00210162,8.54301198,0.03301416,10.86027082,0.06814350
A4,pm_peak,30,30min,3,87674,1.76194366,0.00549814,2.82230202,0.00626949,8.77891604,0.02739457,11.11235015,0.06800843
A4,pm_peak,45,45min,3,87674,1.80833689,0.00730443,2.89216495,0.00183618,9.01007144,0.03639424,11.36146545,0.05300527
A4,pm_peak,60,60min,3,87674,1.86231629,0.01103706,2.98796280,0.01131418,9.27902444,0.05499257,11.68946362,0.02798998
A4,off_peak,-1,mean,3,1106622,1.85951348,0.00013120,2.76935061,0.00678703,7.89238485,0.00055687,9.40110747,0.00498192
A4,off_peak,15,15min,3,275508,1.85091956,0.00416135,2.76187762,0.01098094,7.85112572,0.01765135,9.35853100,0.01590402
A4,off_peak,30,30min,3,276329,1.84838406,0.00061750,2.76064865,0.00692308,7.84432427,0.00262076,9.35994116,0.00761548
A4,off_peak,45,45min,3,277059,1.86042353,0.00176279,2.77090494,0.00532323,7.89792951,0.00748329,9.40456136,0.01152104
A4,off_peak,60,60min,3,277726,1.87820427,0.00308995,2.78380251,0.00541662,7.97567304,0.01312133,9.48085594,0.01417418
