model,period,horizon_min,horizon_label,n_seed,n,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WMAPE_mean,WMAPE_std,MAPE_mean,MAPE_std
B3,am_peak,45,45分钟,3,88342,1.77783473,0.01595272,2.64554286,0.02718210,8.50326029,0.07630082,9.89116605,0.09294307
B3,am_peak,60,60分钟,3,88342,1.93727644,0.02109839,2.86887527,0.03254957,9.26585897,0.10091234,10.81962776,0.12760933
B3,inter_peak,-1,四时距汇总,3,706724,1.42256860,0.00314067,2.14439376,0.00380548,6.81821966,0.01505297,8.07921727,0.00953860
B3,inter_peak,15,15分钟,3,176681,1.40346519,0.00497958,2.10243034,0.00628814,6.72665898,0.02386647,7.93141127,0.02021774
B3,inter_peak,30,30分钟,3,176681,1.41564731,0.00337450,2.13634841,0.00479093,6.78504658,0.01617377,8.03692150,0.01165220
B3,inter_peak,45,45分钟,3,176681,1.42748721,0.00205798,2.15766668,0.00232089,6.84179417,0.00986377,8.12763468,0.00372534
B3,inter_peak,60,60分钟,3,176681,1.44367480,0.00218574,2.18035809,0.00197090,6.91937923,0.01047576,8.22090085,0.00339211
B3,pm_peak,-1,四时距汇总,3,350696,1.79794876,0.00534000,2.85434882,0.01228121,8.95831299,0.02660620,11.22511323,0.04391230
B3,pm_peak,15,15分钟,3,87674,1.72167548,0.00461343,2.71312316,0.01777623,8.57827918,0.02298646,10.80597115,0.06898020
B3,pm_peak,30,30分钟,3,87674,1.77061884,0.00484246,2.81144285,0.01688498,8.82214006,0.02412754,11.06549676,0.05787922
B3,pm_peak,45,45分钟,3,87674,1.82150722,0.00608151,2.89131443,0.01027543,9.07569281,0.03030162,11.34339873,0.03326410
B3,pm_peak,60,60分钟,3,87674,1.87799327,0.00762151,2.99401816,0.00556340,9.35713514,0.03797421,11.68558502,0.01629666
B3,off_peak,-1,四时距汇总,3,1106622,1.86011461,0.00319671,2.77037740,0.01438725,7.89493624,0.01356817,9.41298135,0.02099882
B3,off_peak,15,15分钟,3,275508,1.85044018,0.00358724,2.76338442,0.01583448,7.84909248,0.01521620,9.36968931,0.02398571
B3,off_peak,30,30分钟,3,276329,1.84803128,0.00373056,2.76125948,0.01534514,7.84282684,0.01583214,9.36933359,0.02406717
B3,off_peak,45,45分钟,3,277059,1.86107548,0.00316509,2.77122060,0.01357472,7.90069755,0.01343634,9.41480986,0.02057602
B3,off_peak,60,60分钟,3,277726,1.88077561,0.00256204,2.78547923,0.01288823,7.98659197,0.01087946,9.49752998,0.01563317
B4,all,-1,四时距汇总,3,2517410,1.67924352,0.01406993,2.54861410,0.01754048,7.65201648,0.06411420,9.11922232,0.06189101
B4,all,15,15分钟,3,628205,1.66974966,0.01298106,2.52765449,0.01724836,7.60759497,0.05914342,9.04056009,0.05682348
B4,all,30,30分钟,3,629026,1.67598848,0.01389701,2.54474664,0.01784445,7.63709736,0.06332525,9.09604454,0.06114664
B4,all,45,45分钟,3,629756,1.68204530,0.01458326,2.55606802,0.01784738,7.66519292,0.06645689,9.14199575,0.06468372
B4,all,60,60分钟,3,630423,1.68915304,0.01482144,2.56575513,0.01727135,7.69801696,0.06754633,9.19798470,0.06500427
B4,am_peak,-1,四时距汇总,3,353368,1.61352893,0.00628516,2.41310557,0.00915392,7.71739674,0.03006133,9.02036730,0.04497449
B4,am_peak,15,15分钟,3,88342,1.58911784,0.00796455,2.35262871,0.00603451,7.60064093,0.03809407,8.79579608,0.02386752
B4,am_peak,30,30分钟,3,88342,1.60135837,0.00650634,2.39050166,0.00917979,7.65918652,0.03111919,8.91713905,0.04186959
B4,am_peak,45,45分钟,3,88342,1.62100367,0.00737378,2.43232052,0.01045535,7.75314824,0.03526819,9.08865007,0.05453522
B4,am_peak,60,60分钟,3,88342,1.64263586,0.00904961,2.47522370,0.01197180,7.85661395,0.04328348,9.27988497,0.06728927
B4,inter_peak,-1,四时距汇总,3,706724,1.41104134,0.00827202,2.12482079,0.00763911,6.76297029,0.03964698,7.90967115,0.02168853
B4,inter_peak,15,15分钟,3,176681,1.39901114,0.00825387,2.10120543,0.00736509,6.70531098,0.03956010,7.82989359,0.02136708
B4,inter_peak,30,30分钟,3,176681,1.40849900,0.00828925,2.12155509,0.00749679,6.75078535,0.03972972,7.89524508,0.02194346
B4,inter_peak,45,45分钟,3,176681,1.41473893,0.00832498,2.13301341,0.00780829,6.78069242,0.03990076,7.93769328,0.02214456
B4,inter_peak,60,60分钟,3,176681,1.42191629,0.00822529,2.14327908,0.00794759,6.81509320,0.03942300,7.97585360,0.02130249
B4,pm_peak,-1,四时距汇总,3,350696,1.79111759,0.05701259,2.81835278,0.06286229,8.92427603,0.28406597,11.03664525,0.20464095
B4,pm_peak,15,15分钟,3,87674,1.76011646,0.05697839,2.75285896,0.06700911,8.76981195,0.28389575,10.76589616,0.20996622
B4,pm_peak,30,30分钟,3,87674,1.78583519,0.05741722,2.81019394,0.06490129,8.89795589,0.28608226,10.97328726,0.20896672
B4,pm_peak,45,45分钟,3,87674,1.80328476,0.05761432,2.84256657,0.06229871,8.98489889,0.28706440,11.13211505,0.20626826
B4,pm_peak,60,60分钟,3,87674,1.81523383,0.05609886,2.86648933,0.05749826,9.04443582,0.27951370,11.27528127,0.19388102
B4,off_peak,-1,四时距汇总,3,1106622,1.83605651,0.00784954,2.74143497,0.01121730,7.79282618,0.03331607,9.31563155,0.04960851
B4,off_peak,15,15分钟,3,275508,1.84046964,0.00654796,2.74763020,0.01094730,7.80680005,0.02777472,9.34642442,0.04641905
B4,off_peak,30,30分钟,3,276329,1.83602460,0.00724964,2.74407093,0.01111815,7.79187155,0.03076663,9.32543437,0.04765741
B4,off_peak,45,45分钟,3,277059,1.83360521,0.00836092,2.73956068,0.01141903,7.78407939,0.03549403,9.29725266,0.05200628
B4,off_peak,60,60分钟,3,277726,1.83415592,0.00940386,2.73451789,0.01155864,7.78862429,0.03993301,9.29366748,0.05320760
B5,all,-1,四时距汇总,3,2517410,1.67255239,0.00262959,2.54242770,0.00667977,7.62152608,0.01198263,9.09307861,0.01443336
B5,all,15,15分钟,3,628205,1.66160214,0.00184227,2.51933304,0.00527049,7.57047351,0.00839357,9.00490061,0.01243126
B5,all,30,30分钟,3,629026,1.66886910,0.00221933,2.53849252,0.00622513,7.60465590,0.01011292,9.06695302,0.01200860
B5,all,45,45分钟,3,629756,1.67581924,0.00280281,2.55040161,0.00731479,7.63682016,0.01277254,9.11901220,0.01419440
B5,all,60,60分钟,3,630423,1.68387568,0.00365645,2.56121167,0.00789713,7.67396641,0.01666380,9.18110879,0.01955150
B5,am_peak,-1,四时距汇总,3,353368,1.60911846,0.00742890,2.40148346,0.01126904,7.69630194,0.03553190,8.95458253,0.05344955
B5,am_peak,15,15分钟,3,88342,1.58478264,0.00821277,2.34162108,0.00794649,7.57990599,0.03928100,8.72196293,0.04703903
B5,am_peak,30,30分钟,3,88342,1.59664432,0.00570567,2.38076520,0.00949814,7.63663928,0.02728993,8.84678555,0.04081535
B5,am_peak,45,45分钟,3,88342,1.61636043,0.00790701,2.42129676,0.01287226,7.73094002,0.03781858,9.02589194,0.05429096
B5,am_peak,60,60分钟,3,88342,1.63868670,0.01384534,2.46057081,0.01893712,7.83772516,0.06622123,9.22369067,0.08850168
B5,inter_peak,-1,四时距汇总,3,706724,1.40876400,0.00346610,2.12123807,0.00272851,6.75205517,0.01661258,7.90844282,0.00403603
B5,inter_peak,15,15分钟,3,176681,1.39539440,0.00371412,2.09668422,0.00306421,6.68797636,0.01780135,7.82051675,0.00456176
B5,inter_peak,30,30分钟,3,176681,1.40607337,0.00369129,2.11795823,0.00285017,6.73915958,0.01769201,7.89365196,0.00525990
B5,inter_peak,45,45分钟,3,176681,1.41296653,0.00330418,2.12927000,0.00233105,6.77219756,0.01583644,7.93905099,0.00347800
B5,inter_peak,60,60分钟,3,176681,1.42062155,0.00319978,2.14078959,0.00281465,6.80888764,0.01533610,7.98055156,0.00340279
B5,pm_peak,-1,四时距汇总,3,350696,1.75882649,0.00591806,2.79411642,0.01939549,8.76338514,0.02948725,10.94002406,0.03518256
B5,pm_peak,15,15分钟,3,87674,1.72606262,0.00700003,2.72632996,0.02207152,8.60013771,0.03487777,10.66042010,0.03967283
B5,pm_peak,30,30分钟,3,87674,1.75201587,0.00704211,2.78576477,0.02191070,8.72945054,0.03508755,10.86857732,0.03795550
B5,pm_peak,45,45分钟,3,87674,1.77104139,0.00604109,2.81821068,0.01969464,8.82424545,0.03009958,11.03465525,0.03684388
B5,pm_peak,60,60分钟,3,87674,1.78618598,0.00395588,2.84475303,0.01437593,8.89970366,0.01971033,11.19644451,0.02632917
B5,off_peak,-1,四时距汇总,3,1106622,1.83393093,0.00398610,2.74137600,0.00668417,7.78380426,0.01691825,9.30857118,0.01245346
B5,off_peak,15,15分钟,3,275508,1.83643818,0.00264305,2.74398875,0.00542881,7.78969940,0.01121087,9.32837009,0.00737678
B5,off_peak,30,30分钟,3,276329,1.83360612,0.00318984,2.74339191,0.00568017,7.78160810,0.01353727,9.31594658,0.00977016
B5,off_peak,45,45分钟,3,277059,1.83226717,0.00427019,2.74060082,0.00670698,7.77839931,0.01812811,9.29499658,0.01296965
B5,off_peak,60,60分钟,3,277726,1.83342644,0.00585799,2.73754517,0.00897090,7.78552691,0.02487545,9.29513327,0.01993054
B6,all,-1,四时距汇总,3,2517410,1.68498464,0.00860517,2.55429594,0.00805697,7.67817752,0.03921221,9.16005294,0.02935922
B6,all,15,15分钟,3,628205,1.67548196,0.00857317,2.53595479,0.00793446,7.63371213,0.03906073,9.08741093,0.02682641
B6,all,30,30分钟,3,629026,1.68233438,0.00833604,2.55097016,0.00797703,7.66601435,0.03798530,9.14086819,0.02759220
