model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
STAEformer,0,off_peak,60,60分钟,277726,1.79844117,2.75349736,7.63696432,9.13034248,26
STAEformer,0,off_peak,-1,四时距汇总,1106622,1.80203414,2.73428273,7.64842415,9.11308384,109
STAEformer,1,all,15,15分钟,628205,1.61927950,2.47410417,7.37764692,8.75403595,39
STAEformer,1,all,30,30分钟,629026,1.63897717,2.53528476,7.46844482,8.92880154,37
STAEformer,1,all,45,45分钟,629756,1.65488183,2.57467651,7.54140711,8.98879433,34
STAEformer,1,all,60,60分钟,630423,1.66581583,2.59791470,7.59166193,9.09630871,35
STAEformer,1,all,-1,四时距汇总,2517410,1.64476156,2.54598761,7.49488831,8.94214630,145
STAEformer,1,am_peak,15,15分钟,88342,1.50504041,2.27102518,7.19850445,8.39925861,1
STAEformer,1,am_peak,30,30分钟,88342,1.54308188,2.34954190,7.38045359,8.64877415,1
STAEformer,1,am_peak,45,45分钟,88342,1.57361627,2.40384531,7.52649736,8.80005836,1
STAEformer,1,am_peak,60,60分钟,88342,1.59697950,2.43238783,7.63824224,8.96557236,1
STAEformer,1,am_peak,-1,四时距汇总,353368,1.55467951,2.36499906,7.43592453,8.70341587,4
STAEformer,1,inter_peak,15,15分钟,176681,1.36503363,2.07660294,6.54246044,7.65347242,4
STAEformer,1,inter_peak,30,30分钟,176681,1.38246524,2.13870621,6.62600851,7.79365158,4
STAEformer,1,inter_peak,45,45分钟,176681,1.39877272,2.18449378,6.70416784,7.84306097,4
STAEformer,1,inter_peak,60,60分钟,176681,1.40932727,2.20578718,6.75475502,7.91780567,4
STAEformer,1,inter_peak,-1,四时距汇总,706724,1.38889968,2.15196729,6.65684795,7.80199766,16
STAEformer,1,pm_peak,15,15分钟,87674,1.63581455,2.58521914,8.15047550,10.10167313,4
STAEformer,1,pm_peak,30,30分钟,87674,1.70983362,2.73798299,8.51927662,10.72924995,4
STAEformer,1,pm_peak,45,45分钟,87674,1.75450277,2.82258630,8.74184227,10.98800564,4
STAEformer,1,pm_peak,60,60分钟,87674,1.79863262,2.90286875,8.96171951,11.32715797,4
STAEformer,1,pm_peak,-1,四时距汇总,350696,1.72469580,2.76466775,8.59332943,10.78652191,16
STAEformer,1,off_peak,15,15分钟,275508,1.81369460,2.72237468,7.69322729,9.14476776,30
STAEformer,1,off_peak,30,30分钟,276329,1.81116378,2.75023150,7.68636560,9.17290974,28
STAEformer,1,off_peak,45,45分钟,277059,1.81259072,2.76783442,7.69486809,9.14699554,25
STAEformer,1,off_peak,60,60分钟,277726,1.80895388,2.77178502,7.68160582,9.18340015,26
STAEformer,1,off_peak,-1,四时距汇总,1106622,1.81159651,2.75318146,7.68900967,9.16204834,109
STAEformer,2,all,15,15分钟,628205,1.61764491,2.46998382,7.37019920,8.76769066,39
STAEformer,2,all,30,30分钟,629026,1.64040768,2.53655910,7.47496319,8.91224766,37
STAEformer,2,all,45,45分钟,629756,1.65156722,2.56648922,7.52630234,8.98211288,34
STAEformer,2,all,60,60分钟,630423,1.66201818,2.57695961,7.57435465,9.02905178,35
STAEformer,2,all,-1,四时距汇总,2517410,1.64293087,2.53789282,7.48654604,8.92290211,145
STAEformer,2,am_peak,15,15分钟,88342,1.50012207,2.25734901,7.17497969,8.41434956,1
