id,name,description,direction,is_dwell_times_filtering_countline,is_anpr,is_speed,start_lat,start_long,end_lat,end_long,mean_lat,mean_lon
52586,S162_AspleyLn_road_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.968445,-1.192702,52.968414,-1.192725,52.9684295,-1.1927135
52587,S162_AspleyLn_road_cntr_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.968414,-1.192725,52.968388,-1.192747,52.968401,-1.192736
52588,S162_AspleyLn_road_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.968388,-1.192747,52.968349,-1.192781,52.9683685,-1.192764
52589,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.968372,-1.192576,52.968315,-1.192607,52.9683435,-1.1925915
52590,S164_AspleyLn_road_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967308,-1.189055,52.967339,-1.189045,52.967323500000006,-1.18905
52591,S164_AspleyLn_road_cntr_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967339,-1.189045,52.967377,-1.189027,52.967358000000004,-1.189036
52592,S164_AspleyLn_road_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.967377,-1.189027,52.967411,-1.189013,52.967394,-1.1890200000000002
52593,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.967308,-1.189055,52.967377,-1.189027,52.9673425,-1.189041
52604,S221_ValleyRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.992081,-1.141592,52.992023,-1.141557,52.992052,-1.1415745
52605,S221_ValleyRd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.992023,-1.141557,52.991993,-1.141529,52.992008,-1.141543
52606,Countline 3,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.992088,-1.14153,52.992031,-1.14149,52.992059499999996,-1.1415099999999998
52609,S283_MansfieldRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.964561,-1.152523,52.964584,-1.15242,52.9645725,-1.1524714999999999
52610,S283_MansfieldRd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.964584,-1.15242,52.964592,-1.152372,52.964588000000006,-1.152396
52611,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.96468,-1.15259,52.964691,-1.15247,52.9646855,-1.15253
